pergunta;resposta
Qual foi a causa da Peste Negra?;A bactéria Yersinia pestis, que resulta em várias formas de peste (septicémica, pneumónica e bubónica)
Em qual período a Europa sofreu o maior impacto da Peste Negra?;Entre os anos de 1347 e 1351
Qual região foi inicialmente atingida pela Peste Negra?;Ásia Central ou Ásia Oriental
Como a Peste Negra se espalhou para a Europa?;Por pulgas que viviam nos ratos que viajavam em navios mercantes genoveses, espalhando-se por toda a bacia do Mediterrâneo
Qual foi o impacto populacional da Peste Negra na Europa?;Matou entre 30% a 60% da população europeia
Quantas pessoas morreram devido à Peste Negra mundialmente?;75 a 200 milhões de pessoas na Eurásia e Norte da África
Quando foi que a Peste Negra chegou ao Reino Unido?;Sete anos após ter começado, em 1346
Qual o nome científico da bactéria responsável pela peste bubônica?;Yersinia pestis
Quantos anos levou para a população europeia recuperar o nível anterior à Peste Negra?;Aproximadamente 200 anos
Qual tipo de fleba foi identificado como o principal vetor da transmissão do Yersinia pestis?;Oriental rat flea (Xenopsylla chepsis)
