pergunta;resposta
Qual é o nome do medicamento usado para tratar a pressão alta?;Aldactone (espironolactona)
Quais são os ingredientes ativos da aspirina?;Ácido acetilsalicílico
Qual é o papel da farmácia no controle de qualidade dos medicamentos?;A farmácia garante a qualidade, segurança e eficácia dos medicamentos através do controle rigoroso de sua produção, armazenamento e distribuição.
Quais são os principais tipos de medicamentos disponíveis nas farmácias?;Medicamentos de uso geral (antigripe, analgésicos), medicamentos controlados (opioides) e medicamentos especiais (imunossupressores).
Qual é a função da receita médica na compra de medicamentos?;A receita médica garante que o paciente esteja recebendo o tratamento adequado, prescrito por um profissional de saúde.
Quais são as principais funções de uma farmácia?;Dispensação de medicamentos (preparação e entrega dos remédios), aconselhamento aos pacientes sobre o uso correto dos medicamentos e monitoramento da terapia.
Qual é o prazo de validade dos medicamentos?;O prazo de validade dos medicamentos varia, mas geralmente é indicado na embalagem ou cartucho do remédio.
Quais são os cuidados necessários com medicamentos controlados?;Os medicamentos controlados devem ser armazenados em local seguro, longe da alcance de crianças e adultos não autorizados. A posse deve ser justificada por receita médica válida.
Qual é o papel dos farmacêuticos na prevenção de erros medicamentosos?;Os farmacêuticos contribuem para a prevenção de erros medicamentosos através do controle cruzado da receita médica, da verificação da identidade do paciente e da conferência com a receita.
Quais são os efeitos colaterais comuns dos anti-inflamatórios não esteroides (AINEs)?;Efeitos colaterais comuns dos AINEs incluem irritação gastrointestinal, úlceras e sangramento no estômago ou intestino.
