pergunta;resposta
Qual é a capital de Victoria?;Melbourne
Quem governa o estado de Victoria desde 2014?;Daniel Andrews
O que torna Melbourne conhecida como a capital esportiva do mundo?;Melbourne abriga vários estádios importantes, incluindo o Melbourne Cricket Ground e o Melbourne Park.
Qual é a posição de Victoria em termos de PIB per capita na Austrália?;sexta
Quem serve como governadora de Victoria desde 2015?;Linda Dessau
Qual evento esportivo anualmente ocorre no Melbourne Cricket Ground?;a grande final da Liga Australiana de Futebol (AFL)
Quanto é o PIB nominal per capita de Victoria em dólares australianos?;AU$68,996
Qual foi a temperatura mais baixa registrada em fevereiro na região de Victoria (°C)?;-3.9
Quantas cadeiras Victoria possui na Câmara dos Representantes da Austrália?;38
Qual é o nome do maior estádio da Austrália e do Hemisfério Sul?;Melbourne Cricket Ground
