pergunta;resposta
Qual é a capital de Victoria?;Melbourne
Qual é a classificação do PIB de Victoria na Austrália?;segundo
Qual é o maior estádio da Austrália?;Melbourne Cricket Ground
Quando Victoria conquistou a autogovernação?;1855
Qual é o tipo de economia de Victoria?;diversificada
Qual é a universidade mais antiga de Victoria?;University of Melbourne
Qual é a posição de Victoria em termos de densidade populacional na Austrália?;mais densamente populada
Qual evento é realizado anualmente no Melbourne Cricket Ground?;AFL Grand Final
Qual é o nome da capital federal que substituiu Melbourne?;Canberra
Qual instituição está localizada em Victoria?;Melbourne Convention and Exhibition Centre
