pergunta;resposta
Em qual estado dos Estados Unidos está localizada a cidade de Jacksonville?;Flórida
Jacksonville está situada em qual condado?;Duval
Qual é a população estimada de Jacksonville, segundo o último censo?;891.452
De quem é o nome da cidade de Jacksonville?;Andrew Jackson
Qual é o apelido de Jacksonville relacionado ao seu rio?;The River City
Qual universidade está sediada em Jacksonville?;Universidade da Flórida do Norte
Qual é o rio principal que corta Jacksonville?;St. Johns River
Jacksonville é conhecida como a maior cidade de Flórida em termos de área. Isso é verdade?;Sim
Qual é o principal porto marítimo de Jacksonville?;Porto de Jacksonville
Qual é a base econômica mais importante de Jacksonville?;Saúde, finanças e setor militar
