pergunta;resposta
Qual a principal área de pesquisa do Departamento de Sociologia da Universidade de Chicago?;Sociologia urbana e comunitária
Qual a figura central na fundação do Instituto de Estudos Sociais da Universidade de Chicago?;Robert Park
O que caracterizou o 'Ecossistema Social' proposto por Robert Park?;A interação dinâmica entre grupos sociais e o ambiente
Qual o conceito chave desenvolvido por Ernest Burgess em relação ao desenvolvimento das cidades?;A Teoria da Zona Concêntrica
Qual a importância da pesquisa etnográfica no trabalho de sociólogos da Universidade de Chicago?;Permitir a imersão no campo de estudo para compreender as culturas locais
Qual o nome dado ao grupo de sociólogos que se concentrou no estudo da vida cotidiana dos imigrantes?;Chicago Area Project
Em que se diferencia a abordagem da Universidade de Chicago em relação aos estudos sociais?;Ênfase na pesquisa empírica e no estudo das relações sociais
Qual o foco principal da pesquisa sobre a 'Zona Verde' na teoria de Burgess?;Área de alta concentração de imigrantes e pobreza
Qual a metodologia predominante utilizada pelos pesquisadores do Chicago Area Project?;Pesquisa de campo intensiva e coleta de dados primários
Que tipo de análise foi utilizada para examinar as relações entre a criminalidade e os padrões de segregação residencial?;Análise estatística e mapeamento espacial
