pergunta;resposta;respona
Em que ano foi fundado o IPCC?;1988;
O que é o objetivo principal do IPCC?;Sintetizar e divulgar o conhecimento mais avançado sobre as mudanças climáticas que hoje afetam o mundo, especificamente, o aquecimento global;
Qual é a principal tarefa do IPCC?;Avaliar regularmente o estado atual do conhecimento científico sobre as mudanças climáticas;
Qual foi o prêmio Nobel atribuído ao IPCC em 2007?;Prêmio Nobel da Paz;
Quais são as organizações que estabeleceram o IPCC?;Organização Meteorológica Mundial (OMM) e Programa das Nações Unidas para o Meio Ambiente (PNUMA);
Quais são as concentrações de gases de efeito estufa que a ONU quer estabilizar?;De 278 a 450 partes por milhão (ppm) de CO2;
Quando foi assinado o Protocolo de Kioto, que menciona o IPCC?;1997;
O que é a Abordagem do IPCC?;;Método para produzir avaliações consistentes e transparentes sobre as mudanças climáticas
Quais são os dois sub-painéis do IPCC?;Painel 1: Base Científica/Tecnológica e Painel 2: Impactos, Vulnerabilidade e Adaptação;
Qual foi a Resolução da ONU que endossou o IPCC?;Resolução 43/53;
