pergunta;resposta
Qual é o objetivo principal da União Europeia?;Promover a paz, seus valores e o bem-estar de seus povos.
Quando foi estabelecida a organização predecessora da UE?;Após a Segunda Guerra Mundial.
Quais são os juristas associados ao Direito da União Europeia?;John Bell e Henry G. Schermers.
Qual revista está envolvida no campo do direito da UE?;Common Market Law Review.
Como o direito da UE afeta as leis nacionais dos Estados-membros?;Efeito direto ou indireto.
Quais instituições fazem parte do processo legislativo da UE?;Parlamento Europeu e Conselho.
Segundo o tribunal de Justiça, qual ordem jurídica a UE representa?;Uma nova ordem jurídica internacional.
Quais setores foram os primeiros abordados pela primeira comunidade da UE?;Carvão e aço.
Quem contribui academicamente para o direito da UE?;John Bell e Henry G. Schermers.
Em quais áreas esses juristas se especializam?;Direito da União Europeia.
