pergunta;resposta
Quando a British Satellite Broadcasting foi incorporada para formar a BSkyB?;Em novembro de 1990
Em que data a British Satellite Broadcasting começou a transmitir?;Em 25 de março de 1990
Qual é a sucessora da British Satellite Broadcasting?;Sky UK
Qual foi o ano de fundação da British Satellite Broadcasting?;1986
Quais são os locais associados à British Satellite Broadcasting?;Inglaterra, Londres e Reino Unido
O que aconteceu com a British Satellite Broadcasting?;Foi incorporada pela Sky Television plc para formar a BSkyB
Quais canais de TV eram propriedade da British Satellite Broadcasting?;Galaxy, Now, The Computer Channel, The Movie Channel, The Power Station
Quais filmes foram produzidos pela British Satellite Broadcasting?;Hardware e Memphis Belle
Qual é o nome completo da British Satellite Broadcasting?;British Satellite Broadcasting plc
Quais categorias a British Satellite Broadcasting está associada?;Serviços de satélite direto, história da televisão no Reino Unido e empresas britânicas estabelecidas em 1986
