pergunta;resposta
Quem eram os huguenotes na França durante a segunda metade do século XVI?;Os huguenotes eram protestantes franceses.
Quantos huguenotes deixaram a França após a revogação do Édito de Nantes em 1685?;Cerca de 300.000 huguenotes deixaram a França.
Quem era o monarca francês que revogou o Édito de Nantes em 1685?;Luís XIV revogou o Édito de Nantes.
Qual foi o principal motivo para a perseguição aos huguenotes na França sob Luís XIV?;A perseguição era contra as comunidades protestantes.
Os huguenotes eram majoritariamente seguidores de qual confissão religiosa?;Eram majoritariamente calvinistas e membros da Igreja Reformada.
Qual região francesa era predominantemente luterana entre os protestantes, além dos huguenotes calvinistas?;As regiões da Alsácia, Moselle e Montbéliard eram majoritariamente alemães luteranos.
Qual era o principal símbolo que identificava os huguenotes na França?;A cruz huguenote (croix huguenote) era um importante símbolo dos huguenotes.
Quem eram os camisards em relação aos huguenotes?;Os camisards eram higuenotes rebeldes que lutaram contra as perseguições religiosas na França.
Qual evento histórico marcou a revogação do Édito de Nantes em outubro de 1685?;A data da revogação foi 18 de outubro de 685.
Que tipo de relação religiosa os huguenotes tinham com a Igreja Católica na França?;Os huguenotes eram separados da Igreja Católica na França.
