pergunta;resposta
Qual é a idade estimada da Terra segundo estudos geológicos?;4,6 bilhões de anos
Qual é o nome da teoria que explica o movimento das placas tectônicas?;Tectônica de placas
Quais são exemplos de recursos naturais que a geologia ajuda a localizar e gerenciar?;Petróleo, carvão, ouro, ferro, cobre, urânio
Qual é a lei brasileira que regulamenta a profissão de geólogo?;Lei nº 4.076, de 23 de junho de 1962
Quem introduziu de forma definitiva o termo 'geologia'?;Horace-Bénédict de Saussure
Qual é o nome de um periódico científico associado à geologia?;Episodes
Quais são as camadas da litosfera?;Crosta e manto superior
Qual é o órgão responsável pela fiscalização da profissão de geólogo no Brasil?;Conselhos Regionais de Engenharia e Agronomia (CREA)
Qual é o nome de um geólogo mencionado no contexto?;James E. Gill
Qual é a função da geologia em relação à biologia e antropologia?;Servir como suporte a muitos dos seus estudos
