pergunta;resposta
Quem é conhecido por trabalhar na teoria da complexidade computacional?;Russell Impagliazzo
Quais modelos de página wiki são usados na teoria da complexidade computacional?;Template:ComplexityClasses, Template:Harv, Template:Springer
Qual é o principal objetivo da teoria da complexidade computacional?;Classificar problemas computacionais por dificuldade e relacionar suas classes
Quais são os dois recursos básicos usados para medir a complexidade de um problema?;Tempo e armazenamento
Quem atua na disciplina de teoria da complexidade computacional?;Scott Aaronson
Qual é a imagem representativa associada à teoria da complexidade computacional?;Complexity classes.svg
Quais são os principais campos da ciência da computação conectados à teoria da complexidade?;Análise de algoritmos e teoria da computabilidade
Qual é o tipo de classificação associado à teoria da complexidade computacional?;Complexidade de problemas
Quem é associado à disciplina de teoria da complexidade computacional?;Vijay Vazirani
Qual é o título principal da teoria da complexidade computacional?;Classes de complexidade computacional
