pergunta;resposta
Quando começou a crise do petróleo de 1973?;outubro de 1973,
Quem proclamou o embargo do petróleo?;membros da Organização dos Países Exportadores de Petróleo Árabes
Quais países foram inicialmente alvo do boicote?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos
Em que data o embargo foi levantado?;março de 1974,
Qual foi o aumento no preço do petróleo até março de 1974?;de US $ 3 para quase US $ 12
Qual foi o outro termo usado para descrever essa crise?;primeiro choque do
Como foi chamada a crise subsequente?;segundo choque do
Quais países foram adicionados ao boicote posteriormente?;Portugal, Rodesia e África do Sul
Por que o embargo foi imposto?;porque os países apoiavam Israel durante a Guerra de Yom Kippur
Quais foram os efeitos do embargo?;uma crise econômica global
