pergunta;resposta
Quem descreveu os ctenóforos?;Os ctenóforos foram descritos cientificamente pelo biologista alemão Eschscholtz em 1829.
Os ctenóforos são encontrados em quais tipos de ambientes?;Os ctenóforos podem ser encontrados tanto em águas oceânicas como em estuárias e mares costeiros.
Em que partes do mundo os ctenóforos podem ser encontrados?;Os ctenóforos são distribuídos cosmopolitamente, sendo encontrados em todos os oceanos do mundo.
Por que os ctenóforos são semelhantes às medusas?;Devido a uma convergência evolutiva, os ctenóforos e as medusas possuem características morfológicas semelhantes, como forma globosa e transparência.
Quais são os tipos principais de habitat dos ctenóforos?;Os ctenóforos podem ser planctónicos ou bentónicos, vivendo em águas costeiras ou oceanicas respectivamente.
Os ctenóforos conseguem emitir luz própria?;Sim, os ctenóforos são bioluminescentes, podendo emitir luz azulada para se defender ou caçar presas.
Quando surgiram os ctenóforos na terra?;Os ctenóforos surgiram no Cambriano, entre 505 a 500 milhões de anos atrás.
Qual imagem retrata um ctenófono adulto?;"A imagem ""Ctenophorae"" de Ernst Haeckel retrata um ctenófono adulto."
O que é outro nome para os ctenóforos?;Os ctenóforos são também conhecidos como carambolas-do-mar ou águas-vivas-de-pente.
Em que classes são divididos os ctenóforos?;Os ctenóforos são divididos nas classes Tentaculata, Nuda e Scleroctenophora.
