cenario;status
Fresno_few-shot-triplas_RDF_140_deepseek-r1:1.5b_0.7_0.95_40;sucesso
Comutação_de_pacotes_few-shot-triplas_verbalizado_140_deepseek-r1:1.5b_0.7_0.95_40;erro
Farmácia_few-shot-triplas_RDF_140_deepseek-r1:7b_0.7_0.95_40;sucesso
Construction_zero-shot_deepseek-r1:7b_0.7_0.95_40;sucesso
Construction_zero-shot-triplas_RDF_140_qwen3:32b_0.7_0.95_40;erro
Escola_zero-shot-triplas_verbalizado_140_qwen2.5:3b_0.7_0.95_40;sucesso
Escola_few-shot-triplas_verbalizado_140_qwen3:30b_0.7_0.95_40;sucesso
Jacksonville_zero-shot-triplas_verbalizado_140_qwen2.5:3b_0.7_0.95_40;erro
Jacksonville_few-shot-triplas_verbalizado_140_qwen3:4b_0.7_0.95_40;erro
Número_primo_zero-shot-triplas_RDF_140_deepseek-r1:1.5b_0.7_0.95_40;erro
Número_primo_few-shot-triplas_RDF_140_qwen3:14b_0.7_0.95_40;erro
Número_primo_zero-shot-triplas_RDF_140_qwen3:32b_0.7_0.95_40;erro
Rio_Reno_zero-shot-triplas_verbalizado_140_deepseek-r1:1.5b_0.7_0.95_40;sucesso
Rio_Reno_zero-shot-triplas_verbalizado_140_granite3.1-dense:8b_0.7_0.95_40;erro
Varsóvia_few-shot-triplas_verbalizado_140_gemma3:12b_0.7_0.95_40;erro
Força_zero-shot-triplas_RDF_140_deepseek-r1:1.5b_0.7_0.95_40;erro
Força_zero-shot-triplas_RDF_140_deepseek-r1:7b_0.7_0.95_40;erro
Motor_a_vapor_zero-shot-triplas_verbalizado_140_deepseek-r1:1.5b_0.7_0.95_40;erro
Oxygen_few-shot-triplas_verbalizado_140_qwen3:30b_0.7_0.95_40;erro
Crise_petrolífera_de_1973_zero-shot-triplas_RDF_140_deepseek-r1:7b_0.7_0.95_40;sucesso
Amazon_rainforest_few-shot-triplas_RDF_140_qwen3:8b_0.7_0.95_40;sucesso
